| rf2 | 0.972222222222 | 0.722222222222 | 1 |
| rf5 | 0.966475095785 | 0.708333333333 | 1 |
| rf5oob | 0.970785440613 | 0.652777777778 | 1 |
| svc | 0.966475095785 | 0.861111111111 | 1 |
| nusvc | 0.997126436782 | 0.833333333333 | 1 |
| polysvc | 0.892720306513 | 0.888888888889 | 1 |
| sigsvc | 0.974137931034 | 0.861111111111 | 1 |
| polysvc5 | 0.919540229885 | 0.777777777778 | 1 |
| polysvc2 | 0.955938697318 | 0.861111111111 | 1 |
| polysvc1 | 0.974137931034 | 0.861111111111 | 1 |
| polysvc4 | 0.941570881226 | 0.916666666667 | 1 |
| polysvc6 | 0.853448275862 | 0.777777777778 | 1 |
